video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"I-Le2SFGBZA","Snow Man「深澤辰哉の気持ち」どれだけ彼を愛せますか？","2021-03-03T08:00:05Z","UCuFPaemAaMR8R5cHzjy23dQ","Snow Man","10","21.04.03","Snow Man|スノーマン|岩本 照|Hikaru Iwamoto|深澤 辰哉|Tatsuya Fukazawa|ラウール|Raul|渡辺 翔太|Shota Watanabe|向井 康二|Koji Mukai|阿部 亮平|Ryohei Abe|目黒 蓮|Ren Meguro|宮舘 涼太|Ryota Miyadate|佐久間 大介|Daisuke Sakuma|滝沢秀明|タッキー|アクロバット","860789","0","0","6583","https://i.ytimg.com/vi/I-Le2SFGBZA/default.jpg","False","True","どうも！Snow Manです。ある意味…いやいい意味で衝撃的な企画となりました！何がどうなっているか…とにかく動画を見てください。。。しっかり最後まで見てくださいね。途中でやめちゃダメだよ！2021.03.03「Snow Man ASIA TOUR 2D.2D.」LIVE DVD / Blu-ray Release！◆「Snow Man ASIA TOUR 2D.2D.」予約はコチラ！・初回盤DVDhttps://SnowMan.lnk.to/asiatour2d2d_2...​・初回盤Blu-rayhttps://SnowMan.lnk.to/asiatour2d2d2_...​・通常盤DVDhttps://SnowMan.lnk.to/asiatour2d2d2_...​・通常盤Blu-rayhttps://SnowMan.lnk.to/asiatour2d2d2_...​・全形態https://SnowMan.lnk.to/asiatour2d2d​◆avex Twitterhttps://twitter.com/SN__20200122​【初回盤】DVD/Blu-ray ※収録内容共通DVD4枚組(初回盤)品番:AVBD-27974~7 POS:498806427974/6価格:7,000(税抜)¥7,700(税込)ワンピースBOX+デジパック仕様 フォトブック、ライブ用銀テープ封入 Blu-ray Disc3枚組(初回盤)品番:AVXD-27978~80 POS:498806427978/4価格:7,000(税抜)¥7,700(税込)ワンピースBOX+デジパック仕様 フォトブック、ライブ用銀テープ封入・収録内容[LIVE本編]10月25日の公演の模様を配信ライブと異なるカット割で収録 [特典映像]1. ライブツアー密着ドキュメント映像2. MC集3. マルチアングル映像(3曲)4. 9公演のメンバー別&グループ ハイライトシーン集【通常盤】DVD/Blu-ray ※収録内容共通DVD3枚組(通常盤)品番:AVBD-27981~3 POS:498806427981/4価格:5,800(税抜)¥6,380(税込)初回仕様:スリーブケース+トールケース仕様 ライブ用銀テープ封入 Blu-ray Disc2枚組 (通常盤)品番:AVXD-27984~5 POS:498806427984/5価格:5,800(税抜)¥6,380(税込)初回仕様:スリーブケース+トールケース仕様 ライブ用銀テープ封入 ・収録内容[LIVE本編]10月25日の公演の模様を配信ライブと同カット割で収録 [特典映像]1. ビジュアルコメンタリー2. 10月22日初日 ダイジェスト映像◆Snow Man HPhttps://avex.jp/snowman/​ ◆Snow Man YouTube公式チャンネル https://www.youtube.com/c/J_SNOWMAN​ ◆Snow Man Weibo https://www.weibo.com/SnowManofficial​... ◆Johnny's net https://www.johnnys-net.jp/page?id=ar...​ #SnowMan​ #SnowManASIATOUR2D2D​ #深澤辰哉の気持ち"
"VZbIsAAZjVU","【清原vs竹原】誰も止めれない本気喧嘩マッチ","2021-03-03T12:00:19Z","UC9aER0bs2IpqTQNKljzzBFQ","清ちゃんスポーツ","22","21.04.03","清原和博|マッコイ斉藤|清ちゃんスポーツ","691005","11827","377","1064","https://i.ytimg.com/vi/VZbIsAAZjVU/default.jpg","False","False","【竹原テレビの動画はこちら】https://youtu.be/7CFqo6j_VaIお世話になっているジム 【Personal training gym MEXTR 六本木店】住所： 東京都港区西麻布3-20-3-B1【トータル・ワークアウト 六本木ヒルズ店】住所：東京都港区六本木６丁目４−１ハリウッドプラザ B2F【清原にバッティングを教えて欲しいチビッコ大募集】年齢は中学生までとします。お問合せは以下のいずれかにご連絡お願い致します。https://forms.gle/nuLAxwAngPi8X98X8https://twitter.com/inumahironoriケンコーTVhttps://youtube.com/channel/UCVxfaJc2hrH74DeUQorWB7wなみのゆるめるカラダ教室https://youtube.com/channel/UCOvpG4GYyEn-bqQSSovxDIQ辛い事もあった。苦しいこともあった。心が折れそうなこともあった。だから俺は泥の中から、花を咲かす。蓮の花のように生きてやる。---⚾清原和博Twitterhttps://twitter.com/kiyohara3_5_114⚾マッコイ斉藤Twitterhttps://twitter.com/MACCOI_SAITO---写真提供：日刊スポーツ音源協力：matty(ソナーポケット)---チャンネルに関するお問合せは以下のいずれかにご連絡お願い致します。https://forms.gle/nuLAxwAngPi8X98X8https://twitter.com/inumahironori#竹原慎二  #畑山隆則 #清原和博 #スパーリング #ボクシング #キヨスポ  #清スポ"
"h9mdV5EGvYA","ついに中町綾ちゃんコラボ💖アンエンユリっぽく変身させていくう😆","2021-03-03T11:00:16Z","UCdMPsjlg23dDhPm-hP_LlSQ","アンエンユリ","22","21.04.03","EXILE|LDH|ATSUSHI|E-girls|Dream|Happiness|Ami|EXILE THE SECOND|三代目 J SOUL BROTHERS|GENERATIONS|THE RAMPAGE|FANTASTICS|DOBERMAN INFINITY|Deep|MIYAVI|須田アンナ|YURINO|初投稿|自己紹介|スダンナユズユリー|中町綾|中町兄妹|メイク|ファッション|make|fashion","252846","9683","160","1169","https://i.ytimg.com/vi/h9mdV5EGvYA/default.jpg","False","False","#アンエンユリ#中町綾#コラボやっとやっとーーーーー💖💖ついについにーーーーーー💖💖中町綾ちゃんとコラボしました😘😘💗マジで嬉しいすいませええええん　も伝授してもらった❤️今回はアンエンユリで綾ちゃんを変身させてみたようアンナがメイクしてあたしがスタイリングあああ楽しかったよおお❤️❤️ピグモンもカメラありがとおおお😭😭😭❤️❤️好きいいい綾ちゃんの動画はこちらです❤️https://youtu.be/nB5bobZG4PE🎀ANNA INSTAGRAM🎀https://instagram.com/annababychan__🧸YURINO INSTAGRAM🧸https://instagram.com/yurinoxx💙episode INSTAGRAM💙https://instagram.com/episode__store🌼お問い合わせはこちら🌼info@episode-official.com☁️episode HP☁️https://episode-official.com/"
"khwRIvO1DvQ","トレードで加入の田口麗斗投手が挨拶！スワローズの一員となり、違和感なくチームに溶け込む！","2021-03-03T09:27:19Z","UCt7cNctKXoKece38M9gJV7A","東京ヤクルトスワローズ","17","21.04.03","田口麗斗投手|スワローズ|巨人|東京ヤクルトスワローズ|ジャイアンツ|田口麗斗","416449","5785","83","871","https://i.ytimg.com/vi/khwRIvO1DvQ/default.jpg","False","False","交換トレードでスワローズに加入した田口麗斗投手が挨拶！スワローズでの活躍を誓い、意気込みを語りました！"
"--4tfbSyYDE","JO1｜'YOUNG (JO1 ver.)' PERFORMANCE VIDEO","2021-03-03T10:00:17Z","UCsmXiDP8S40uBeJYxvyulmA","JO1","10","21.04.03","PRODUCE101JAPAN|プデュ|日プ|川尻蓮|豆原一成|川西拓実|河野純喜|木全翔也|金城碧海|白岩瑠姫|佐藤景瑚|鶴房汐恩|與那城奨|大平祥生|JO1|じぇいおーわん|ジェイオーワン|TheSTAR|STARGAZER|PROTOSTAR|OhiraShosei|KawashiriRen|KawanishiTakumi|KimataSyoya|KinjoSukai|KonoJunki|SatoKeigo|ShioiwaRuki|TsuruboShion|MameharaIssei|YonashiroSho|OH-EH-OH|VOICE|MYFRIENDS|Shine a light|STARLIGHT|SAFETYZONE|LAPAPAPAM|無限大|INFINITY|RUNNING|GO|SOWAHT|ツカメ|YOUNG|GARANDMASTER|KUNGCHIKITA|MONSTAR|BEWITHYOU|HAPPYMERRYCHRISTMAS|伝えられるなら","343065","24993","188","3036","https://i.ytimg.com/vi/--4tfbSyYDE/default.jpg","False","False","JO1｜'YOUNG (JO1 ver.)' PERFORMANCE VIDEO—————————————————〜JO1、未知の世界へ踏み出す〜3RD SINGLE “CHALLENGER”2021.4.28(WED) RELEASEhttps://jo1.jp　​​—————————————————JO1 OFFICIAL SITE:https://jo1.jp​​Twitter:https://twitter.com/official_JO1​​Instagram:http://instagram.com/official_JO1​​TikTok:https://www.tiktok.com​​WEIBO:https://www.weibo.com/7454644363/prof...​#JO1​​ #JO1_DEBUT_1STANNIVERSARY #YOUNG​​"
"2QEOGQ6jDrM","【ドッキリ】もしも将棋素人の俺がプロレベルに強かったら、ヨビノリたくみは気づくのか？【神回】","2021-03-03T10:15:12Z","UCxIPzBJ59q3Bv9pNmCYIC_g","日常でんがん","27","21.04.03","[none]","411245","9194","167","649","https://i.ytimg.com/vi/2QEOGQ6jDrM/default.jpg","False","False","今回は中村太地七段とでんがんでヨビノリにドッキリを仕掛けました！プロ棋士の方とドッキリができるとかこんな光栄なことはないですね。本当に中村太地さん協力していただいてありがとうございました。さて、今回の企画で分かったことは「プロ棋士の方ってガチですげえんだな。」っていうことです。当たり前かもしれませんが、あのヨビノリたくみ(アマレベルでは相当強いレベル)がこんなあっさりと負けてしまうんだと身をもって体感したことで、凄さをより大きく感じることができました。プロ棋士というのに、憧れるレベルでした(笑)。そんなドッキリを是非楽しくご覧ください。⬇︎中村太地さんのチャンネル⬇︎https://www.youtube.com/channel/UCC0Q1NBgGJRzFFPe1IPYtwg⬇︎ヨビノリたくみのチャンネル⬇︎https://www.youtube.com/channel/UCqmWJJolqAgjIdLqK3zD1QQ⬇︎前回の中村太地さんとのコラボ動画⬇︎https://youtu.be/kyJ8dLtVFHI■教育クリエイターフェス「SCHOOL」チケット大好評により、3/28のイベントを行うことになりました。チケットは下記からお願いたします。今回は大学生もいけますよ！➡︎https://school328.peatix.com/追加公演は同じ内容・スケジュールではありません。ご注意ください。たくみでんがんは出る予定です。しかし、他の出演者は変わる可能性があります。詳しくは上記のホームページで詳細を随時チェックしてください！でんがんTwitter ＠dengan875はなおでんがんhttps://www.youtube.com/channel/UCPyNsNSTUtywkekbDdCA_8Q株式会社ほえいhttps://www.youtube.com/channel/UCYeEDmOpvEtnKM6KSSqC4UAビックバン理論提唱者でんがんです。私は皆さんに、自分の経験を活かして、勉強の面白さをわかってほしいとの想いで自分のチャンネルを再更新することに決めました。僕の経験が皆さんの人生や進路の少しでも足しになったら幸いだと思っています。はなおでんがんチャンネルではふざけるけど、個人チャンネルでは勉強を中心に発信していきたいと思います。具体的にはガチの解説系からモチベーションの保ち方のようなメンタル面まで動画にできたら良いと思っています。でんがん"
"l9MUdlKpqrA","【Apex Legends解説】Apexって何？ざっくりキャラ紹介ヒューズ編㉔","2021-03-03T09:53:26Z","UCkBHs1AVh2XiNSz3zCR1Rrw","だんたい/団体","20","21.04.03","ランパート|Apex Legends|エペ|エイペックスレジェンズ|戦術アビリティ|解説|団体|だんたい|ナックルクラスター|グレネーダー|マザーロード","189931","7748","72","1079","https://i.ytimg.com/vi/l9MUdlKpqrA/default.jpg","False","False","#ApexLegends 　#ApexLegends解説次→前→https://youtu.be/J9qoB895FsI団体チャンネル登録よろしくぅ！https://www.youtube.com/channel/UCkBHs1AVh2XiNSz3zCR1Rrw/?sub_confirmation=1Twitter :https://twitter.com/sonchodiceInstagram :https://www.instagram.com/sonchodiceMusic＆SE♪Joakim Karud http://youtube.com/joakimkarudOtologic:https://otologic.jp/魔王魂:https://maoudamashii.jokersounds.com/甘茶の音楽工房:https://amachamusic.chagasi.com/DOVA-SYNDROME:https://dova-s.jp/H/MIX GALLERY:http://www.hmix.net/フリー効果音素材 くらげ工匠:http://www.kurage-kosho.info/index.htmlzapsplat:https://www.zapsplat.comBensound: https://www.bensound.com/PURPLE PLANET MUSIC :https://www.purple-planet.com/ED:NIVIRO - Dancin' [NCS Surround Release]https://www.youtube.com/watch?v=WiaxIRi5KPwhttps://open.spotify.com/playlist/7sZbq8QGyMnhKPcLJvCUFD"
"7CFqo6j_VaI","清原和博とガチスパーリング!!","2021-03-03T12:00:02Z","UCQXwvYkiHyEfzV66-fols3w","竹原テレビ","22","21.04.03","竹原慎二|ガチンコファイトクラブ|ガチンコ|マッコイ斉藤|ボクシング","201901","4188","90","374","https://i.ytimg.com/vi/7CFqo6j_VaI/default.jpg","False","False","【キヨスポ の動画はこちら】https://youtu.be/VZbIsAAZjVU日本人で初めてWBA世界ミドル級チャンピオンになった男。竹原慎二が元気のない人達の為に、全てを投げ捨てYouTubeに挑戦！何でもやります！笑いと感動をお届けする番組。さあ、みんな竹原で笑おう。🥊「竹原テレビ」テーマ曲提供: matty(ソナーポケット)🥊竹原慎二オフィシャルブログ、じゃ。https://ameblo.jp/shinji-takehara/🥊竹原慎二ツイッター、じゃ。https://twitter.com/shinji_take125🥊【竹原テレビ】Twitter公式アカウント、じゃ。https://twitter.com/takeharatv_ja🥊期間限定でマムシがTwitter始めましたhttps://twitter.com/Mamushi_Iwakuni🥊問い合わせ先、じゃ。竹原テレビに興味のある企業は下記より連絡、じゃ。https://forms.gle/Phs9SXnadYDyDtT26takeharatv.oshigoto@gmail.com#清原和博 #竹原慎二 #スパーリング #ボクシング"
"VnAo2TMN6J8","彼女の手料理を全部プロが作っていたら気付くのか","2021-03-03T12:00:23Z","UCLtzo5aMQ02SqzTjJL2vWyw","夜のひと笑い","24","21.04.03","夜のひと笑い|TikTok いちえ|こうくん|Tik Tok|手料理|冷凍食品|ドッキリ|ナッシュ|nash|お弁当","256896","5042","276","356","https://i.ytimg.com/vi/VnAo2TMN6J8/default.jpg","False","False","提供：nosh-ナッシュhttp://bit.ly/300OyK5____________________________________________Twitterいちえ https://twitter.com/ichie19991027Instagramいちえ https://www.instagram.com/hnkichie27/?hl=jaこう https://www.instagram.com/nakaikou4162/?hl=jaTikTokhttps://www.tiktok.com/@MS4wLjABAAAA6pwRzLr96up7MnqoEDuD4P8vuPeesjGSeKq1dKnKDjbDhBVOfDbuXx4QOl2KtLH_____________________________________________"
"fpM-gUgZUik","【急遽】木梨憲武さんが狩野英孝ちゃんを呼び出しました。","2021-03-03T09:00:28Z","UCyHitknXMENfN5LxV87flHQ","ココリコ遠藤のヘンなカタチ","24","21.04.03","[none]","375192","5944","131","449","https://i.ytimg.com/vi/fpM-gUgZUik/default.jpg","False","False","GYAO!「木梨の貝。」で決まった木梨サイクルで自転車３台を買うというつもりの撮影だったが…憲武さんのノリと流れでとんでもない展開になりました。全部で何話になるかわかりませんが(笑)伝説の一部始終をご覧ください！！木梨憲武展 京都会場2021年2月16日（火）～3月28日（日）午前10時～午後6時（金曜日は午後7時30分まで）https://www.kinashiten.com/GYAO!木梨の貝。はコチラ!!https://yahoo.jp/BPdcll狩野英孝ちゃんのチャンネルはコチラ!!https://www.youtube.com/channel/UCDn8Lqf-x0zD8hmFUg08f6wココリコ遠藤のインスタグラムはこちらhttps://www.instagram.com/shozoen/  この度、ココリコ遠藤章造がYouTubeチャンネルを開設いたしました。毎週水曜日、土曜日の18時に動画アップをいたします。チャンネル登録よろしくお願いいたします。#木梨憲武#狩野英孝#木梨の貝"
"3Mf2froqsDE","冷蔵庫の残り物で適当に夜ご飯作る〜〜。","2021-03-03T10:21:01Z","UCZCzstgLGQdK8GSztJHh0-w","タナカガ","22","21.04.03","パパラピーズ|タナカガ|料理|夜ご飯|ご飯|食べる|自炊|大食い|早食い","244969","6913","162","635","https://i.ytimg.com/vi/3Mf2froqsDE/default.jpg","False","False","#料理 #夜ご飯ご機嫌ようみなさま。今日は初めての料理動画にしてみました。ここ半年ぐらいはほぼ毎日自炊を続けているんですが、いつまで経っても料理には慣れへんしいざという時何を作ったらいいかとかめちゃくちゃ迷いまくるから、ほんまに料理教室通ってレパートリー増やしたいしスイーツとかもいっぱい作れるようになりたい。なんかほんまに冷蔵庫に残ってた残り物でパパッと作っただけやからグラタン♡とかオムライス♡とか可愛らしいものじゃなくてごめん。笑ところでトムとジェリー実写化って何事？最近めっちゃCMで見るねんけどさ、ほんまにどういうことなん？大丈夫そ？バイバイ【プロデュースブランドGAB GAB official sight】⬇︎gabgab.jp~タナカガ~【Twitter】https://twitter.com/Tanakaga_【Instagram】https://www.instagram.com/tanakaga.12【TikTok】https://vt.tiktok.com/dwQH3E/　~パパラピーズ~【YouTube】https://www.youtube.com/channel/UCwN4CR-bDM9ZjvPhb44AfxQ"
"ODY6JWzS8WU","Starship | SN10 | High-Altitude Flight Test","2021-03-03T23:25:12Z","UCtI0Hodo5o5dUb67FeUjDeA","SpaceX","28","21.04.03","SpaceX|Space|Elon Musk|Musk|Starship|SN8|Test Flight|Suborbital|12.5km|15km|Boca Chica|Mars|Cameron County","4280084","194663","1593","21137","https://i.ytimg.com/vi/ODY6JWzS8WU/default.jpg","False","False","As early as Wednesday, March 3, the SpaceX team will attempt a high-altitude flight test of Starship serial number 10 (SN10) – our third high-altitude suborbital flight test of a Starship prototype from SpaceX’s site in Cameron County, Texas. Similar to the high-altitude flight tests of Starship SN8 and SN9, SN10 will be powered through ascent by three Raptor engines, each shutting down in sequence prior to the vehicle reaching apogee – approximately 10 km in altitude. SN10 will perform a propellant transition to the internal header tanks, which hold landing propellant, before reorienting itself for reentry and a controlled aerodynamic descent.  The Starship prototype will descend under active aerodynamic control, accomplished by independent movement of two forward and two aft flaps on the vehicle. All four flaps are actuated by an onboard flight computer to control Starship’s attitude during flight and enable precise landing at the intended location. SN10’s Raptor engines will then reignite as the vehicle attempts a landing flip maneuver immediately before touching down on the landing pad adjacent to the launch mount. A controlled aerodynamic descent with body flaps and vertical landing capability, combined with in-space refilling, are critical to landing Starship at destinations across the solar system where prepared surfaces or runways do not exist, and returning to Earth. This capability will enable a fully reusable transportation system designed to carry both crew and cargo on long-duration, interplanetary flights and help humanity return to the Moon, and travel to Mars and beyond.  Given the dynamic schedule of development testing, stay tuned to our social media channels for updates as we move toward SpaceX’s third high-altitude flight test of Starship!"
"wb6ic2fMQfQ","お会計時に彼氏に財布を忘れたと言ってみたら・・・","2021-03-02T12:00:16Z","UCLtzo5aMQ02SqzTjJL2vWyw","夜のひと笑い","24","21.04.03","夜のひと笑い|TikTok いちえ|こうくん|Tik Tok|Shorts","712815","11472","924","728","https://i.ytimg.com/vi/wb6ic2fMQfQ/default.jpg","False","False","＃tiktok＃Shorts＃カップル____________________________________________Twitterいちえ https://twitter.com/ichie19991027Instagramいちえ https://www.instagram.com/hnkichie27/?hl=jaこう https://www.instagram.com/nakaikou4162/?hl=jaTikTokhttps://www.tiktok.com/@MS4wLjABAAAA6pwRzLr96up7MnqoEDuD4P8vuPeesjGSeKq1dKnKDjbDhBVOfDbuXx4QOl2KtLH_____________________________________________"
