video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"PXemHTr_xLs","[밥묵자] 무서운 우리새끼 (feat. 김종국)","2021-04-04T14:18:13Z","UCSc2DcSzzjHgBn8Hg0KG7PA","꼰대희","23","21.06.04","꼰대희|김대희|밥묵자|장동민|신봉선|유세윤|개콘|개콘레전드|김종국|김준호|런닝맨|미우새|유재석","1643406","34034","643","3863","https://i.ytimg.com/vi/PXemHTr_xLs/default.jpg","False","False","#꼰대희 #밥묵자 #김종국 #김준호 미우새와 콜라보 관계로 업로드가 평소보다 다소 늦어졌습니다. 즐겁게 시청해주세요.*비지니스 문의jdbent001@gmail.com*틱톡https://vt.tiktok.com/ZSJdgRuxJ/*인스타그램https://www.instagram.com/ggondaehee/*제작꼰대희, 윤자까, 임피디"
"hfXqgH2RscE","아이유 모르는 척하기 챌린지 | ODG","2021-04-02T12:00:15Z","UCpjm6R2yqu1GZjYtsIiXR5w","odg","24","21.06.04","[none]","5985324","341230","1834","22306","https://i.ytimg.com/vi/hfXqgH2RscE/default.jpg","False","False","You were a kid once.ODG STUDIOwww.odg.kr"
"XxlsLmHwCSk","ASTRO 아스트로 - ONE M/V","2021-04-05T02:59:59Z","UC3Ea2-Ut3navgOlTfoq790g","fantagio 판타지오","24","21.06.04","fantagio|판타지오|fantagiomusic|판타지오뮤직|아스트로|ASTRO|MOONBIN|문빈|2nd Full Album|정규 2집|올유얼스|All Yours|ONE|원|티저|TEASER|JINJIN|MJ|CHAEUNWOO|YOONSANHA|ROCKY|라키|윤산하|진진|차은우|엠제이|산하|은우|MV|뮤직비디오|Music Video|ONE M/V|M/V","7324148","422761","2927","83724","https://i.ytimg.com/vi/XxlsLmHwCSk/default.jpg","False","False","#ASTRO 2ND FULL ALBUM [#All_Yours] #ONE M/V OPEN!☝️2021. 04. 05 6PM (KST) RELEASE▶ Twitter : http://twitter.com/offclASTRO​▶ Facebook : http://facebook.com/offclASTRO​▶ Instagram : https://www.instagram.com/officialastro​▶ Weibo : http://weibo.com/officialASTRO​▶ Fancafe : http://cafe.daum.net/fantagio-boys"
"k4xSSgQKrF0","임다혜...","2021-04-05T08:00:33Z","UChbE5OZQ6dRHECsX0tEPEZQ","장삐쭈","23","21.06.04","장삐주|장삐쭈|신병|이모티콘|임다혜|불침번|초병|다혜티콘|병영생활|카카오","1142262","20117","566","2419","https://i.ytimg.com/vi/k4xSSgQKrF0/default.jpg","False","False","임다혜 구매하기 : https://bit.ly/3d7stzm"
"nXvnE7BjhD8","황의조 프랑스리그 시즌 최다골ㅎㄷㄷ;; 보르도 VS 스트라스부르 하이라이트","2021-04-04T16:39:28Z","UC2qVOOz13xLXHaw9yW-aMXQ","동현kldh","17","21.06.04","황의조|보르도|리그앙|스트라스부르|황의조골","1034850","4171","161","785","https://i.ytimg.com/vi/nXvnE7BjhD8/default.jpg","False","False","다음 영상을 위해 구독해주세요 !Please subscribe for the next video인스타그램 문의 https://www.instagram.com/kldh_dh/#황의조 #보르도 #최다골 #스트라스부르 #황의조골 #리그앙"
"JmXpyPL28Kk","길거리에서 롤린 춰보기","2021-04-04T11:06:25Z","UCabon80hORhtGhnqClyeixQ","김광연","10","21.06.04","[none]","1250373","37069","857","8216","https://i.ytimg.com/vi/JmXpyPL28Kk/default.jpg","False","False","이 영상이 인기 급상승 동영상에 올라간다면 신촌에서 사쿠란보를 춰서 영상을 올리겠습니다.롤린 치면서 롤린 춰보기: https://www.youtube.com/watch?v=tIf8q4jbmys악보: https://www.mapianist.com/sheet/55544인스타: light_kite_0110♫ Instagram: https://www.instagram.com/light_kite_0110/♫ Facebook: https://www.facebook.com/profile.php?id=100006248265168♫ Toonation: http://toon.at/donate/lightkite0110#김광연 #피아노 #롤린"
"vyuQAgDBKM4","Like Water","2021-04-05T09:03:55Z","UCdNMDRSHlZiBEBYBmZeTGhQ","WENDY - Topic","10","21.06.04","WENDY|Like Water - The 1st Mini Album|Like Water","224432","7418","125","4","https://i.ytimg.com/vi/vyuQAgDBKM4/default.jpg","False","False","Provided to YouTube by SM EntertainmentLike Water · WENDYLike Water - The 1st Mini Album℗ SM EntertainmentReleased on: 2021-04-05Lyricist: KENZIELyricist: YOO YOUNG JINComposer: Coach & SendoComposer: Anne Judith Stokke WikArranger: Coach & SendoAuto-generated by YouTube."
"-Ih5UArd4zk","WENDY 웬디 'Like Water' MV","2021-04-05T09:00:00Z","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","21.06.04","[none]","3909780","736899","5371","97155","https://i.ytimg.com/vi/-Ih5UArd4zk/default.jpg","False","False","WENDY's 1st Mini Album Like Water is out!Listen and download on your favorite platform: https://smarturl.it/WENDY_LIKEWATER[Tracklist]01 When This Rain Stops02 Like Water03 Why Can't You Love Me?04 초행길 (The Road)05 Best Friend (with SEULGI)WENDY Officialhttp://www.youtube.com/redvelvethttp://www.facebook.com/RedVelvethttp://www.instagram.com/redvelvet.smtownhttps://www.tiktok.com/@redvelvet_smtownhttps://www.vlive.tv/channel/DCF447http://twitter.com/RVsmtown#WENDY​ #웬디​ #Like_WaterWENDY 웬디 'Like Water' MV ℗ SM Entertainment"
"RoonrxBAK1s","사랑의 콜센타 돌잔치에 초대합니다_신청곡을 불러드립니다-사랑의 콜센타 시즌2 50회 예고 TV CHOSUN 210408 방송","2021-04-05T02:12:46Z","UCuw1hxBo5mDVUhgMzRDk3aw","TVCHOSUN - TV조선","24","21.06.04","임영웅|영탁|이찬원|정동원|장민호|김희재|김성주|붐|1주년|돌잔치|센타장|선물|트롯|트롯맨|트로트|사랑의콜센타|TV조선","234584","8614","206","1385","https://i.ytimg.com/vi/RoonrxBAK1s/default.jpg","False","False","null"
"R8ja8lDIBt8","When This Rain Stops","2021-04-05T09:03:55Z","UCdNMDRSHlZiBEBYBmZeTGhQ","WENDY - Topic","10","21.06.04","WENDY|Like Water - The 1st Mini Album|When This Rain Stops","151627","9220","50","4","https://i.ytimg.com/vi/R8ja8lDIBt8/default.jpg","False","False","Provided to YouTube by SM EntertainmentWhen This Rain Stops · WENDYLike Water - The 1st Mini Album℗ SM EntertainmentReleased on: 2021-04-05Composer: minGtionLyricist: minGtionArranger: minGtionAuto-generated by YouTube."
