video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"e0BSa2vWgQE","Mcfly adopte des chatons abandonnés. C’est un héros (c’est lui qui a choisi le titre).","2021-03-14T09:00:37Z","UCtxhwJ-6n4_C6ElALThD25Q","Mcfly et Carlito la chaîne secondaire","22","21.14.03","[none]","791232","108680","1523","3596","https://i.ytimg.com/vi/e0BSa2vWgQE/default.jpg","False","False","Une vidéo remplie de douceur et d'humour et de Carlito qui mange des croquettes pour chats en sah(La vidéo avec le président ça avance, faites nous confiance ((ça rime)))Juste un truc (ici Carlito), est ce que vous êtes team chats comme moi ? Je veux dire, j’adore les chiens hein, mais les chats, leur allure, leur autonomie, c’est intestable. Quand un chat ronronne, le monde est beau.Merci à Lord Arthur Laloux pour son parfait montage, as usualMerci à Jay pour tout et surtout pour son style vestimentaireMerci à Tonio comme d'hab la famille tac tac tu connaiiiiisMerci à Flo Sab aka No More MyopieMerci à la série Formula 1 sur Netflix ça démonteBien entendu, on vous encourage fortement à faire appel aux associations proches de chez vous (très rapide à trouver via une recherche géolocalisée sur internet) si vous trouvez des animaux abandonnés ! Sauf si c’est un Ours, dans ce cas, fuyez.Quelques associations les plus connues (celles qui remontent en premier sur Google quoi) :https://www.la-spa.frhttps://www.30millionsdamis.frhttps://www.secondechance.org/"
"_RMCvqtmutk","JE TESTE MAEVA GHENNAM BEAUTY #2","2021-03-14T09:30:05Z","UCI0mw0nNF16fl0hQUD985VA","gaelle garcia diaz","24","21.14.03","gaelle garcia diaz|GaelleGD|humour|drôle|Martine|Martin","366093","43880","181","1213","https://i.ytimg.com/vi/_RMCvqtmutk/default.jpg","False","False","♡ Bonjour Martine, bonjour Martin! Voici le round 2 de Maeva Ghennam Beauty! Après un premier crashtest, je teste les nouveautés de la marque! Validé par Martine? ♡  Mon webshop: https://martineshop.com♡ Ma marque de maquillage Cruelty Free Martine Cosmetics: https://martinecosmetics.com Jusqu’au 14/03 18h00: à partir de 40€ d’achat, le liquid lipstick de ton choix offert! ♡ Mes cosmétiques préférés à -50% -70% & -80% : http://bit.ly/2tJdPqX C O N T A C T : gaelle.garcia.diaz@live.beI N S T A G R A M : http://instagram.com/gaellegdT W I T T E R : http://twitter.com/gaellegd"
"TcUSeNjrzFU","ON ACCOSTE DES GENS EN VOITURE Feat @JOYCA","2021-03-13T10:02:00Z","UCAhaFPP6v3WCfK5Tjao0B7A","Mastu","23","21.14.03","Mastu|Mastus|Redbox|Humour|Matsu|joyca|joyca mastu|mastu joyca|mastu voiture|voiture|joyca voiture|accoster des gens en voiture","1116033","153721","631","3370","https://i.ytimg.com/vi/TcUSeNjrzFU/default.jpg","False","False","Le jingle Smegma de Mastu : https://youtu.be/bLSefsZREMwLe jingle Épices de Joyca : https://youtu.be/wLdV94Ghc18Retour des vidéos en voiture, un vrai plaisir.Contact pro : Contact.mastu@gmail.comS'abonner ► http://bit.ly/AbonnezVousCestGratuitTwitter ► https://twitter.com/Mastuu_Instagram  ► https://www.instagram.com/mastuu_/?hl=frMerci de rester poli et courtois dans l'espace commentaire ! Cette vidéo est adaptée aux annonceurs, c'est une vidéo tout public, de type humour et divertissement !Bonne vidéo à tous mes gazelles ! N'oubliez pas de vous abonner et d'activer la cloche pour ne rater aucune vidéo ! Auteur de ma bannière : https://www.youtube.com/channel/UC-D153G4iCggjEQ50C-NdQw"
"xSjhS6iFyv4","La guerre en Ukraine","2021-03-14T09:30:05Z","UCzjd9v6DMprAAvOBB4sxBPA","LE GRAND JD","24","21.14.03","LE|GRAND|JD|LEGRANDJD|LGJD|legrandjd","205841","55378","129","3863","https://i.ytimg.com/vi/xSjhS6iFyv4/default.jpg","False","False","La seule guerre encore active sur le continent Européen. ➜Quelques reportages/documentaire sur la situation Reportage : à Lougansk, en Ukrainehttps://www.youtube.com/watch?v=1yVccB-5MCIReportage en Ukraine, le Donbass vit toujours au rythme de la guerrehttps://youtu.be/IlCXnDGnFTUReportage : que reste-t-il de l'accord de cessez-le-feu avec la Russie?https://youtu.be/zeoRJl7nyKMUkraine, l’enlisement https://www.youtube.com/watch?v=xlcEh-bFJ3kUkraine, la guerre oubliée https://youtu.be/QeJE_0PupX4➜Quelques pays qui ne reconnaissent pas l'annexion de la Crimée la Suisse https://www.eda.admin.ch/deza/fr/home/pays/ukraine.htmlla Francehttps://www.diplomatie.gouv.fr/fr/politique-etrangere-de-la-france/securite-desarmement-et-non-proliferation/crises-et-conflits/ukraine/l'Allemagnehttps://www.auswaertiges-amt.de/de/aussenpolitik/laender/ukraine-node/ukraine-krise-fragen-und-antworten/2165242l'Angleterrehttps://www.gov.uk/government/news/foreign-secretary-reaffirms-uks-solidarity-with-ukraine-on-seventh-anniversary-of-illegal-annexation-of-crimeaONU https://news.un.org/fr/story/2014/03/286062-lassemblee-generale-denonce-le-rattachement-de-la-crimee-la-russie➜Instagram : https://www.instagram.com/legrandjd➜Facebook: http://www.facebook.com/legrandjd➜Twitter : http://www.twitter.com/legrandjd"
"CM85qVzudIE","JEU EN VRAC (Spécial) - L'incroyable histoire de PETER MOLYNEUX","2021-03-13T16:00:08Z","UCCMxHHciWRBBouzk-PGzmtQ","Bazar du Grenier","20","21.14.03","Joueur du grenier|Bazar du grenier|JEU EN VRAC|PETER|MOLYNEUX|Histoire|JDG","477010","54989","213","2440","https://i.ytimg.com/vi/CM85qVzudIE/default.jpg","False","False","Vidéo sponsorisée par Honkai Impact : Pour télécharger Gratuitement Honkai 3rd:  http://bit.ly/BazarduGrenier46HI3------------------------------------------------------------------------------Et salut à tous ! aujourd'hui un épisode tout à fait spécial de JEU EN VRAC, c'est pour  ça que c'est marqué dans le titre d'ailleurs. Exceptionnellement on ne vas pas aller voir un jeu mais la véritable histoire d'une vraie personne : une figure célèbre du jeu vidéo : Peter Molyneux !0:00 Honkai Pub1:19 JEV MolyneuxMerci à Briag Cineux du Bagad Bro Felger, ainsi qu'à nos 3 développeurs Mathieu Miel, Kylian Machefaux et Dario Coniglio !SOURCES L'oeuvre de Peter Molyneux : Les trois (vis)âges d'un créateur de Raphael Lucas (Passionnant!) Eurogamer -lionhead the inside story https://www.eurogamer.net/articles/2016-05-12-lionhead-the-inside-story The Rise and Fall of Peter Molyneux  Kim Justice (super chaîne, très bien documentée) https://www.youtube.com/watch?v=zFZ92jySWe0VIDEOSCuriosity - what's inside the cube winner video https://www.youtube.com/watch?v=Qhzb9OUWrXUCuriosity - What's inside the cube - Universal - HD Gameplay Trailer https://www.youtube.com/watch?v=M11OK8UoRr4Fable E3 2003 Presentation, Part 1 of 2 https://www.youtube.com/watch?v=mWQTipjc-vgPeter Molyneux [Bullfrog] 🎤 Interview en Français https://www.youtube.com/watch?v=eJQ3_oaCIssDungeon Keeper - video game Making-Of  (French, 1997) https://www.youtube.com/watch?v=3tcOSeFOc5kLionhead Studios Studio Tour https://www.youtube.com/watch?v=gbwjQ-5VpYwAmiga A1200 being manufactured https://www.youtube.com/watch?v=kRAncGU4N3IHow Computer Chips are made - Commodore Computer Factory Tour - German 1984 MOS, PET, CBM2, 6510 https://www.youtube.com/watch?v=OD011kGRrwwFable 2 lets you marry everyone https://www.youtube.com/watch?v=JkNz_IiNUtEBullfrog - Official Promo - 1996 https://www.youtube.com/watch?v=gcK-2OAvlBIFable (Original Xbox) - Making of Documentary https://www.youtube.com/watch?v=yOAaybl2L0kBlack & White demo from Peter Molyneux, ECTS September 1999 https://www.youtube.com/watch?v=jvPRJKc5oPUBlack & White Peter Molyneux documentary https://www.youtube.com/watch?v=1BTAI8KXeH8E3 2009 - Project Natal - Milo Demo with Peter Molyneux 720p HD https://www.youtube.com/watch?v=yDvHlwNvXaMFacebook video Meet the Team 3 Peter Molyneux, Lead Game DesignerDiscours De Lionel Jospin A L'Issue du Premier Tour 21 Avril 2002 De L'Election Présidentielle https://www.youtube.com/watch?v=Ux11q2LX4MsHow to Shake Hands like a Gentleman - Handshake Etiquette for Confident Introductions https://www.youtube.com/watch?v=ILBsS8ZQlL4"
"g-lD7Glh7cg","Piwerre - Biscotte (Clip Officiel)","2021-03-13T12:00:10Z","UCIlr3byh6wmXgcPx_Tm9Ocw","Piwerre","24","21.14.03","Piwerre|biscotte|petite|carré|clip|officiel|michou|french house|2021|son|musique","371550","58268","6657","5498","https://i.ytimg.com/vi/g-lD7Glh7cg/default.jpg","False","False","Produit par IKRRéaliser par Multicouleurs :https://instagram.com/multicouleursparis?igshid=1f798fycberrpAssistant réal : Julien Colas / El Nadouri MohamedProd : Neezy NebMix son : Samy Cherhabil  / handsome kadirovEnregistrement : Ramy Écriture : Miles MDMonteur : Maxime GUIBERT💜 Instagram : https://instagram.com/piwerre_?igshid=1jcnj8978ends 😛 Discord Piwerre : https://discord.gg/QBduPgAAWR🖤 TikTok : https://vm.tiktok.com/WE2MC5/💙 Twitter : https://twitter.com/Piwerre_❤️ Subs : https://www.youtube.com/channel/UCIlr3byh6wmXgcPx_Tm9Ocw/join📧 : ypiwerre@gmail.com"
"OlDIMiutXXw","Kore, Ninho - Mon poto (Clip officiel)","2021-03-12T15:00:24Z","UC9vCjsWgmQriYRJyajxiktA","KoreVEVO","10","21.14.03","ninho|ninho mon poto|epp|ninho epp|ninho rap|ninho rap 2020|ninho rap 2021|ninho rap kore|ninho kore|kore|kore rap|sch|sadek|netflix|en passant pécho|Hip-Hop/Rap|Kore & Ninho|Mon poto|RCA Group","1226717","59293","526","1340","https://i.ytimg.com/vi/OlDIMiutXXw/default.jpg","False","False","Retrouve le titre « Mon poto » de Ninho, extrait de la B.O. inspirée du film En Passant Pécho : https://Kore.lnk.to/EnPassantPechoIDAbonnez-vous à la chaine Youtube de Kore : https://www.youtube.com/channel/UC9vC...​  Clip réalisé par Alexinho MougeolleProduit par Seasidz PicturesRetrouve Ninho : 👉 Instagram : https://www.instagram.com/ninhosdt/?hl=fr 👉 Twitter : https://twitter.com/ninhosdtRetrouve Kore : 👉 Instagram : https://www.instagram.com/the_djkore/...​ 👉 Twitter : https://twitter.com/thedjkore​​​ Retrouve le label AWA : 👉 Youtube : https://bit.ly/3bvYAqW​​​  👉 Instagram : https://www.instagram.com/awagangmusi...​ 👉 Twitter : https://twitter.com/awagangmusic​​​  « Mon Poto » extrait de la Bande Originale Inspirée du Film « En Passant Pécho » by Kore, film produit par Netflix et Hugo Selignac, réalisé par Julien Royal, disponible en exclusivité sur Netflix le 10 Février !👉 @netflixfr 👉 @hugoselignac👉 @julien_royal_  👉 @nassimlyes 👉 @hedi.bouchenafa© 2021 AWA distributed by Sony Music Entertainment France SAS #Ninho #Kore​ #MonPoto"
"Cl6YcrBG3JU","Je teste mes Limites (je suis éclaté au sol mdrrr)","2021-03-13T13:30:01Z","UCL9aTJb0ur4sovxcppAopEw","Inoxtag","24","21.14.03","INOXTAG|INOX|CROUTON|24 h confiné inox|limite inox|une journée inox|inox test qi|inox nuggets challenge|inox nugget|inoxtag nugget|inoxtag dégustation|inoxtag vlog|vlog|inox limite|inox jacuzzi|team crouton","1092270","145207","848","11975","https://i.ytimg.com/vi/Cl6YcrBG3JU/default.jpg","False","False","Nouvelle vidéo les reufs!Je test mes limites dans différents domaines pour voir si je suis bon ou pas! Essayez de faire comme moi les reufs et dites moi en commentaires votre score! Hésite pas à lâcher ton like pour un épisode 2!Vous êtes les boss !🎥Chaîne secondaire: https://bit.ly/2TnCBfm💙T'abonner: https://bit.ly/2Licu2N🔔✅Activez la cloche de notification ↪️Afin d'être au courant de mes prochains live ou vidéos !  😄Mes réseaux sociaux ! 😄Twitch: https://www.twitch.tv/inoxtag🎥Youtube: https://bit.ly/2Licu2N🐤Twitter: @Inoxtag / https://bit.ly/2rT3lVq📸Instagram: @Inoxtagytb / https://bit.ly/2IRifX4📞Discord: https://bit.ly/2LlIBi4💎Deviens Sponsor: https://www.youtube.com/channel/UCL9aTJb0ur4sovxcppAopEw/join💌 SponsorShip : inoxtag@talentweb.fr"
"Q88P1gpOJxA","ROSÉ - 'On The Ground' 0314 SBS Inkigayo","2021-03-14T10:16:46Z","UCOmHUn--16B90oW2L6FRR3A","BLACKPINK","10","21.14.03","YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|ROSÉ On The Ground|로제 On The Ground|On The Ground|로제 R|ROSÉ R|ROSE R|ROSE On The Ground","6432264","1181785","8123","58756","https://i.ytimg.com/vi/Q88P1gpOJxA/default.jpg","False","False","Copyrightⓒ2021 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.[ROSÉ - 'On The Ground' 0314 SBS Inkigayo]*NAVER TV로 보기 : https://tv.naver.com/v/18978369 #ROSÉ #로제 #BLACKPINK #블랙핑크 #OnTheGround  #YGMore about BLACKPINK @http://www.blackpinkofficial.com/http://www.facebook.com/BLACKPINKOFFICIALhttp://www.youtube.com/BLACKPINKOFFICIALhttp://www.instagram.com/BLACKPINKOFFICIALhttp://www.twitter.com/BLACKPINK"
"0Rh4B0NvHjs","MON MEC PEUT-IL / MA MEUF PEUT-ELLE ... ? (ft. @Chloë Lemn)","2021-03-14T11:00:00Z","UCpeLQhRiHb3DiAFVyAQummw","Marine LB","26","21.14.03","marine lb|marinelbars|chloe|Chloe lemn|mon mec peut-il|ma meuf peut-elle|mon mec a le droit de|ma meuf a le droit de|tag|ex|fruitz|couple|docteur love|amour","104013","11504","63","184","https://i.ytimg.com/vi/0Rh4B0NvHjs/default.jpg","False","False","mon mec peut pas connaître mes mots de passe ni follow ses ex sur insta mais s'il peut déjà exister svp ça serait bien..... OUBLIE PAS DE T'ABONNER POUR ME FAIRE GAGNER UN MAX DE YOUTUBE MONEYTélécharge Fruitz ici https://eat.fruitz.io/ZJzYcrEczeb !!!La vidéo de @Chloë Lemn: https://youtu.be/Qr6u9ULr_c4TU PEUX AUSSI ME SUIVRE ICI:Instagram : http://www.instagram.com/marinelbars/Twitter : http://twitter.com/marinelbarsSnapchat: marinelbarsTikTok : @marinelbarsAdresse mail PRO uniquement: marinelb.pro@gmail.comMa dernière vidéo JE FAIS LE SHOPPING DE DARKO : https://youtu.be/qv_I5_D_RQYMon lien de parrainage iGraal: https://fr.igraal.com/?parrain=AG_5954f6828b819_______________________________________________Merci à Malfoy LBC pour la musique de mon intro !Son insta : https://www.instagram.com/malfoooyy/Sa page Spotify : https://open.spotify.com/artist/5JyUYtYr5NpQmBTOAGG7S6_______________________________________________Cette vidéo est sponsorisée par Fruitz !"
