video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"ldDTKxdKuew","60 минут по горячим следам от 14.04.2021","2021-04-14T11:06:57Z","UC_IEcnNeHc_bwd92Ber-lew","Россия 24","25","21.14.04","последние новости|Россия 24|онлайн|новости дня|мировые новости|новости России|новости мира|в прямом эфире|вести|вести 24|Russia24|политика|экономика|бизнес|интервью|специальный репортаж|происшествия|ВГТРК|информационный канал|24 часа|путин|ольга скабеева|скабеева|попов|евгений попов|скабеева и попов|оппозиция|россия|трамп|байден|смотрим|суд|ЕС|Китай|Nike|бойкот брендам одежды","371578","6605","2145","2491","https://i.ytimg.com/vi/ldDTKxdKuew/default.jpg","False","False","СМОТРИМ ВСЁ ТУТ 👉 https://smotrim.ru/60minut/?utm_source=youtube&utm_medium=all&utm_campaign=all_0Подпишитесь на канал 60 минут: https://www.youtube.com/channel/UCR16nHT1nkmG7g9AkE9tGeQ?sub_confirmation=1Ток-шоу с Ольгой Скабеевой и Евгением Поповым от 14 апреля 2021.Последние новости России и мира, политика, экономика, бизнес, курсы валют, культура, технологии, спорт, интервью, специальные репортажи, происшествия и многое другое.Официальный YouTube канал ВГТРК. Россия 24 - это единственный российский информационный канал, вещающий 24 часа в сутки. Мировые новости и новости регионов России. Экономическая аналитика и интервью с влиятельнейшими персонами. Смотрите также:Новости в прямом эфире - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQ73BA1ECZR916u5EI6DnEEМеждународное обозрение - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaSEmz_g88P4pjTgoDzVwfP7Специальный репортаж - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQLdG0uLyM27FhyBi6J0IkfИнтервью - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaReDfS4-5gJqluKn-BGo3JsРеплика - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQHbPaRzLi35yWWs5EUnvOsФакты - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaR4eBu2aWmjknIzXn2hPX4cМнение - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaST71OImm-f_kc-4G9pJtSGАгитпроп - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaTDGsEdC72F1lI1twaLfu9cРоссия и мир в цифрах - https://www.youtube.com/playlist?list=PLLHjKKyQ4OaRx4uhDdyX5NhSy5aeTMcc4Вести в субботу с Брилевым - https://www.youtube.com/playlist?list=PL6MnxjOjSRsQAPpOhH0l_GTegWckbTIB4 Вести недели с Киселевым - https://www.youtube.com/playlist?list=PL6MnxjOjSRsRzsISAlU-JcbTi7_a5wB_v Специальный корреспондент - https://www.youtube.com/playlist?list=PLDsFlvSBdSWfD19Ygi5fQADrrc4ICefyG Воскресный вечер с Соловьевым - https://www.youtube.com/playlist?list=PLwJvP0lZee7zYMGBmzUqNn16P71vHzgkU"
"8dy6fC4fnOs","УАЗик быстрее PORSCHE 911 4S. В погоне за Lamborghini","2021-04-13T16:09:21Z","UC0lT9K8Wfuc1KPqm6YjRf1A","AcademeG","2","21.14.04","AcademeG|Академег|Академик|Тест|драйв|обзор|Test|drive|auto|авто|Костя|заруцкий","1144622","87907","1926","4569","https://i.ytimg.com/vi/8dy6fC4fnOs/default.jpg","False","False","Надёжная сеть профессиональных СТО Бош Авто Сервисhttps://www.boschcarservice.com/ru/ruБилеты на этап Формулы 1 на Сочи Автодроме доступны уже сейчас: https://f1.sochiautodrom.ru/Автомобили Porsche и Lamborghini были предоставлены прокатом DayDreamhttps://daydream.ruhttps://www.instagram.com/dayDream.ru/Толстовка с Гусем как у Костика: https://instagram.com/blogomerchМузыка:WOODJU - Night CityБидский прод. - своим путёмcrysbeats - $$$Остальные треки:https://vk.com/academegost?w=wall-114871206_28158ПО вопросам рекламы и сотрудничества:academeg@a-proved.ruМой канал стримов:https://www.youtube.com/c/AcademeGDailyStreamInstagram:https://instagram.com/academegВконтакт:http://vk.com/AcademeGAcademeG тру ориджинал групп:http://vk.com/academeg_reviewsФтарой канал:https://www.youtube.com/user/AcademeG2ndCHTikTokhttps://www.tiktok.com/@academeg.officialАвтохимия Suprotec-Aprohim:https://suprotec.ru/"
"nbfycLcQCHs","Как снимали А4: Кого первым накажет няня, получит 1000$ - челлендж!","2021-04-13T12:22:47Z","UC9rUnYrza0heXpO011zNDfQ","ОЛЕЖЭ","23","21.14.04","как снимали а4|как снимали а4 няня|а4 няня|олеже как снимали а4 няня|олежэ как снимали а4|олеже как снимали а4|как снимали а4 олеже|влад а4 олеже|а4 как снимали|влад а4 как снимали|а 4 как снимали|олеже как снимали влад а4|влад бумага олеже|олеже а4 как снимали|как снимали кого первым накажет няня|как снимали а4 кого первым накажет няня|как снимали челлендж а4|олеже влад а4|как снимали влад а4|кого первым накажет няня|кого первым накажет няня как снимали","1185322","43599","3097","1418","https://i.ytimg.com/vi/nbfycLcQCHs/default.jpg","False","False","Как снимали Влад Бумага - Кого Первым Накажет НЯНЯ, Получит 1000$ - Челлендж !Оригинальное видео на канале Влада: https://youtu.be/vyyaend0Su8Все серии Как снимали А4 здесь: https://www.youtube.com/watch?v=FS9Vzp-N6i0&list=PL1sqWHjS6_xrt0P-4cIq_gfLWDw9bRYMpВ ролике использованы видео:https://youtu.be/hTedo9z8IKwhttps://youtu.be/o3uFQPERQJQhttps://youtu.be/-L_pncVumEohttps://youtu.be/I11mTDF4Rqohttps://youtu.be/4b07NJpigSchttps://youtu.be/tOQHOrFh-s4https://youtu.be/zmT-eSaex5Qhttps://youtu.be/cnM9pdjp5o4https://youtu.be/K1qWZWsgBbkhttps://youtu.be/y9ekDYeHpP8https://youtu.be/uKFZNpW-hMwМузыка:https://youtu.be/70HcDLCT0sUСотрудничество: olezhe@mediacube.inРолик сделан исключительно в развлекательных целяхЕсли понравилось - поделитесь этим видео с друзьями и подписывайтесь на канал!#олеже #a4"
"8lrEnkomQtA","Что случилось с Утопленным Полицейским Доджом?","2021-04-14T07:01:18Z","UCWG86L4tau8SZ4jRqiVco5g","Чердак","2","21.14.04","влог|авто из сша|влог из сша|шопинг влог|влог из америки|сша влог|покупки|шоппинг|чердак|в сша|тачка на прокачку|авто|жизнь в сша|покупка авто|цены в сша|авто аукцион сша|реакция|попал на деньги|разоблачение|утопленники из сша|утопленник из сша|утопленник|америка|сша|мотивация|что было дальше|Dodge Charger|Полицейский Додж|Додж Чарджер Чердака|Тачка из Need For Speed|Тачка из игры|Dodge SRT|SRT|восстановление авто|реанимация тачки","350655","37493","1098","19716","https://i.ytimg.com/vi/8lrEnkomQtA/default.jpg","False","False","Помоги достичь цели и собрать 2 000 инсталлов ➤➤➤➤Собрано 0 из 2 000Качай Raid: Shadow Legends бесплатно ✅ IOS: https://clik.cc/qzxEP ✅ Android: https://clik.cc/eMhA6 ✅ PC: https://clik.cc/hPuwt и получи специальный стартовый пакет💥 доступный только следующие 30 дней!На автомобильном аукционе мы купили Полицейский Dodge Charger, утопленный в одной из американских погонь. Автомобиль с аукциона Copart. Приехал к нам в гараж для вскрытия.Сотрите что было дальше! Удалось нам завести этого парня или нет.Подбор и покупка Автомобиля Instagram         https://instagram.com/gbchoice_                           https://instagram.com/gbchoice_ukraineYouTube           https://www.youtube.com/channel/UC8ouXH19Rf0GXhBVkBDDRGAFacebook         @guaranteedbestchoiceWebsite             https://gbchoice.comАнгелина Димоваhttps://www.youtube.com/channel/UC0esI16dRI6caNzve2xMjlACar Wraps Miami - Custom Wrap DesignYouTube Vitaly https://youtube.com/c/wrapgodInstagram Vitaly https://Instagram.com/Vitalywrapgod Instagram CWD https://Instagram.com/Cwdwrap (786) 558-4848https://goo.gl/maps/pMPF4jfBqEzmXA4y7С идеями, пишите мне на почту.cherdakla@gmail.comС уважением, ваш Чердакhttps://www.instagram.com/di_che/Вступайте в нашу группу вКонтакте https://vk.com/chepdak#чердак #Проект Need For Speed #утопленник"
"29yABkpfrn0","Данила Козловский: дочь, Викинги, BadComedian, Чернобыль, Ольга Зуева  // А поговорить?..","2021-04-14T08:00:01Z","UCp2J7GRxQ36QLqW4ReLLt5g","А поговорить?","22","21.14.04","а поговорить|эксклюзив|интервью|шихман|Ирина шихман|интервью дудя|юрий дудь|вдудь|дудь|баста интервью|апоговорить|собчак|осторожно собчак|лойк|никита лойк|режик|данила козловский|козловский|викинг|викинги|сериал викинги|badcomedian|евгений баженов|ольга зуева|данила козловский и ольга зуева|викинги сериал|бэдкомедиан","223120","10560","2135","2165","https://i.ytimg.com/vi/29yABkpfrn0/default.jpg","False","False","Покупай в Ситилинк: https://bit.ly/3fWGItTПоездки, в которых ничего не происходит: https://ya.cc/t/v-7rLcpTS2TLuМайские праздники в Lotte Hotel Moscow https://bit.ly/3a6yOKZЭксклюзивная коллекция одежды А поговорить? - https://shop.apogovorit.ru00:00 В гостях у Ирины Шихман — Данила Козловский01:46 Когда в последний раз плакал?03:15 О рождении дочери05:58 О расставании с Ольгой Зуевой08:45 Помогают ли актеру такие сложные жизненные моменты?12:58 О критике со стороны Бэдкомедиана и роли в фильме На районе16:56 О выборе ролей: зачем соглашаться на изначально плохой сценарий?18:09 О «Викингах» и работе в США21:51 Чем отличаются съемки в России и Америке?26:51 Как напился, пытаясь лучше сыграть пьяного31:07 О поступлении в театральную академию32:51 Театр Льва Додина — секта? 36:13 Как съемки в «Улицах разбитых фонарей» привели к двойному перелому ноги 42:02 О разочаровании от фильмов и стыде 46:15 О работе режиссером 49:16 Что вышло не так с фильмом «Тренер»?52:53 О комплексах и борьбе с собой55:22 О студенческом романе с Елизаветой Боярской 58:03 О «Чернобыле»01:06:09 Что больше всего поразило в чернобыльской аварии?01:16:43 О сотрудничестве с государством 01:20:16 О советской системе, построенной на тотальной лжи01:23:52 В чем проблема русского народа?01:29:15 О «Караморе»01:34:11 О митингах и политических высказываниях актеров01:37:15 О Навальном и несменяемости власти01:42:22 Почему чувствует себя некомфортно рядом с Путиным?01:45:11 О Ходорковском и российской системе власти01:50:36 О маме01:55:53 Самый большой страх относительно профессииЧитай нас в Telegram: https://teleg.one/apogovoritofficialИрина Шихман берет эксклюзивные интервью у самых неожиданных гостей! А поговорить?..НАМ РАССКАЖУТ ВСЕ!#козловский #шихман #апоговорить #интервьюПодпишись на канал https://www.youtube.com/channel/UCp2J7GRxQ36QLqW4ReLLt5g?sub_confirmation=1Instagram Ирины Шихман: https://www.instagram.com/irinashikhman/За логотипом и фирменным стилем к Борису Казачкову https://www.instagram.com/boris.kazachkov/"
"akGoiwhvM2A","Задержанный за убийство вора в законе в Москве признал вину","2021-04-14T07:51:48Z","UCsd4tKHuW5LRIfUwf109Zvg","РИА Новости","25","21.14.04","али гейдаров|альберт рыжий|задержание|убийство криминального авторитета|москва|Алые Паруса|фитнес-клуб|вор в законе","56614","702","159","338","https://i.ytimg.com/vi/akGoiwhvM2A/default.jpg","False","False","Ранее криминального авторитета Альберта Рыжего застрелили, когда он занимался на кардиотренажере в фитнес-клубе в Москве.По данным СМИ, в прошлом году он условно-досрочно вышел из колонии в Марий Эл, где отбывал семилетний срок за ограбление продавца автомобиля, а до этого участвовал в различных конфликтах в криминальном мире.Подписывайтесь на РИА Новости: http://www.youtube.com/subscription_center?add_user=rianovostiРИА Новости в соцсетях: ВКонтакте: https://vk.com/riaInstagram: http://instagram.com/ria_novostiFacebook: https://www.facebook.com/rianruОдноклассники: https://ok.ru/riaTwitter: https://twitter.com/rianruTwitter Breaking News: https://twitter.com/riabreakingnews"
"09gOXaWnj5A","Я убью твою дочь. Мужское / Женское. Выпуск от 13.04.2021","2021-04-14T05:22:40Z","UCX9-cJy8dZWDI8hCnmahuLA","Первый канал","29","21.14.04","Семья|помощь|родители|семья|брак|дети|любовь|измена|дружба|предательство|горе|радость|мать|угроза|ребенок|отец|родител-е права","449186","2997","503","1272","https://i.ytimg.com/vi/09gOXaWnj5A/default.jpg","False","False","Говорят, от любви до ненависти один шаг. Это точно понял отец семимесячной Насти. По словам Андрея Махалова, его нынешняя жена Татьяна грозилась убить дочку, поэтому он забрал ребенка и намерен лишить мать родительских прав. Однако Татьяна утверждает, что у Андрея очень странные сексуальные наклонности и он не должен воспитывать ребенка. В программе «Мужское / Женское»: какая судьба ждет семимесячную малышку, кто из родителей переходит все грани и почему первая жена Андрея опасается за жизнь и своих детей?"
"zo86Zk7T_-k","Гавайи. Большой Остров и извержение вулкана.","2021-04-13T08:36:18Z","UClI9aidW3X044NeB4QS-yxw","Антон Птушкин","19","21.14.04","[none]","1527472","135193","1024","6892","https://i.ytimg.com/vi/zo86Zk7T_-k/default.jpg","False","False","✅Закажи систему безопасности Ajax и получи датчик протечки в подарок: https://wow.link/AJAX✅ The Мерч : ​​https://wanderlust.com.uaПервая часть о Гавайях и острове Оаху здесь:https://youtu.be/kwPqZyS2ttA🔈Музыкальные библиотеки, которыми я пользуюсь: Библиотека с крайне качественной музыкой : http://share.mscbd.fm/ptuxerman​​Библиотека с огромной базой и очень широким спектром музыки и звуковых эффектов http://share.epidemicsound.com/CjNB9​​ 🎵Music : ONUKA: https://www.youtube.com/user/onukaoff...​Jad Abstrock и новый альбом Believer : https://fanlink.to/believer_album​Cсылки на героев : Brian Lowry : http://lavapix.com, https://www.youtube.com/user/lavapixКонстантин Батыгин : https://www.konstantinbatygin.comРостик : https://instagram.com/curva.peligrosaМои соцсети:Канал в Телеграм https://t.me/ptuxerman​​Портал в инстаграм: https://www.instagram.com/ptuxerman/​​Съемка, монтаж и все остальное : ВСЕ САМ."
"oFmO1ai6qEo","Реакция на звонок Байдена Путину | Отношения РФ и США | Киев заискивает перед НАТО | Полный контакт","2021-04-14T08:08:36Z","UCQ4YOFsXjG9eXWZ6uLj2t2A","Соловьёв LIVE","25","21.14.04","путин|байден|байден позвонил путину|украина|донбасс|соловьев live|война|соловьев|новости|соловьев лайф|россия|политика|soloviev live|соловьев лайв|последние новости|политика сегодня|прямой эфир|соловьев live прямой эфир|донецк|владимир соловьев|вечер с владимиром соловьевым|россия 1|байден о путине|нато|сша|америка|киев|псаки|белый дом|сми","270585","14871","1817","560","https://i.ytimg.com/vi/oFmO1ai6qEo/default.jpg","False","False","🌞 Доброе утро! 📻 Устанавливаем «Полный контакт»! Владимир Соловьёв и самые уважаемые эксперты страны на протяжении четырёх часов! Присоединяйтесь!00:00 Главные новости дня08:20 Звонок Байдена Путину взорвал мозг нашей оппозиции25:43 Ни слова о Навальном: траур в твиттере после звонка Байдена Путину / Время Голованова36:09 Список дурачков. Кашин и Быков встали на защиту Уминского40:59 Конспирология от иноагентов57:49 Переброска российских войск к западным границам. Александр Коц / Время Голованова01:08:10 Первые темы – не Украина: как пресс-служба Белого дома расставила приоритеты в разговоре Байдена с Путиным? Валентин Богданов из США01:26:08 Новости дня / Время Голованова01:35:51 С чем связано изменение нашей риторики в отношении США? На связи Мария Захарова01:58:35 Как может выглядеть встреча Путина и Байдена? Дмитрий Смирнов / Время Голованова02:07:40 Поведение Соболь в суде. Почему возможно такое издевательство над правосудием? Гость Илиас Меркури02:27:49 Любовь Соболь принудительно доставили в суд по делу о проникновении в квартиру / Время Голованова02:36:21 Шапито Соболь в суде. Навальный хочет изучать Коран. В эфире Армен Гаспарян02:59:20 Кризис власти. Почему Соболь все позволено? Борис Якеменко / Время Голованова03:07:13 Предложение Байдена. Это попытка США откатиться назад в конфронтации? Гость Дмитрий Евстафьев03:20:30 Что позволяет себе российская оппозиция?03:26:01 Истерика Соболь в суде / Время Голованова03:36:37 Кадыров обвинил Навального в попытке использовать Коран для провокаций03:42:03 Отлучить Карнаухова от Церкви!. Карнаухов вскрыл связи представителя церкви с Ходорковским03:48:25 Глумление Дождя над гибелью ребенка в Донбассе📻 Слушайте на http://radiovesti.ru☎ Звоните по телефону +7 495 232-15-59📱 Пишите в WhatsApp +7 903 170-63-63📺 Подписывайтесь на YouTube-канал — http://soloviev.live#полныйконтакт #соловьёв #соловьёвlive"
"y1Rb4SaQX5s","Ужас. Самый настоящий ужас: Украинцы оценили деятельность Зеленского","2021-04-14T10:27:37Z","UCj4dH8kfRQFey9MYSENPNaQ","112 Украина","25","21.14.04","112|112 ютуб|112 украина|112 смотреть|зик онлайн|зик эфир|зик ютуб|newsone|ньюсван ютуб","152396","5328","218","1166","https://i.ytimg.com/vi/y1Rb4SaQX5s/default.jpg","False","False","Подпишитесь на новый канал, открытый журналистами! https://cutt.ly/PlI3KqTПрямой эфир: https://youtu.be/w_kWfZg07TYПодписаться на канал 112: https://goo.gl/CqZYZb"
