video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"akusFhRhCNc","Querdenker-Demo: Eskalation in Kassel","2021-03-23T08:44:32Z","UC1w6pNGiiLdZgyNpXUnA4Zw","DER SPIEGEL","25","21.24.03","Björn Banane|Corona|Corona-Leugner|Corona-Maßnahmen|Demo|Kassel|Pandemie|Polizei|Querdenker|SPIEGEL TV","1227768","44664","9826","23320","https://i.ytimg.com/vi/akusFhRhCNc/default.jpg","False","False","Keine Umarmungen in der Öffentlichkeit, kein Osterfeuer, kein Freiluftkonzert, keine Außengastronomie, kein Breitensport für Kinder und Jugendliche, dafür aber Groß-Demos für Corona-Leugner. Der normale Menschenverstand kommt da nicht mehr mit. Eine Reportage aus Kassel."
"LtWLnWoVQEs","GEWINNER: Wer ist der Dinosaurier? | Die Enthüllung | The Masked Singer | ProSieben","2021-03-23T23:24:01Z","UCj-EBDViG3vi0LQla6SLueg","The Masked Singer","24","21.24.03","Enthüllung|Demaskierung|Promi|Star|Identität|Finale|Dinosaurier|Der Dinosaurier Enthüllung|Der Dinosaurier The Masked Singer|Sasha The Masked Singer|Sasha Dick Brave live|Sasha Dick Brave Enthüllung|Sasha Der Dinosaurier|Sasha Dinosaurier|The Masked Singer|Masked Singer|Masked Singer Germany|Masked Singer Deutschland|Enthüllung Masked Singer|Indizien Masked Singer|Rate Show|Rate Show ProSieben|Raten|Promis raten|Promis unter Masken|maskierte Promis|ProSieben","169315","2866","163","292","https://i.ytimg.com/vi/LtWLnWoVQEs/default.jpg","False","False","Der Dinosaurier hat sich den goldenen Pokal gesichert. Er gewinnt die 4. Staffel „The Masked Singer“. Doch nun muss auch er seine Maske fallen lassen. Die Community glaubt, dass sich Sänger Sasha im grünen Kostüm versteckt - ob Sasha tatsächlich unter der Maske steckt?#TheMaskedSinger #ProSieben►Alle News von The Masked Singer: https://s71.link/b/34Y3R7S ►The Masked Singer auf Facebook https://s71.link/b/2Vx3oq1 ► The Masked Singer auf Instagram https://s71.link/b/2VtUtWp In der Musikshow „The Masked Singer“ treten Stars aus allen Lebensbereichen in überdimensionalen, aufwendigen Kostümen an, die sie völlig unerkennbar machen. Wer ist der beste Sänger hinter der Maske? Wer erkennt die Stimme? Gibt die Performance Rückschlüsse auf die Person? Jury und Zuschauer können über die Identität nur spekulieren. In jeder Show wird ein Promi mit dem schwächsten Auftritt des Abends unmasked.***************************************Im Rateteam sitzen in Staffel 4 wieder Ruth Moschner und Rea Garvey. Die beiden lösen damit das Herbst-Rateteam Sonja Zietlow und Bülent Ceylan ab. Alle Sendetermine und Sendezeiten von The Masked Singer 2021 gibt es im Überblick.► www.maskedsinger.deLade dir jetzt die ProSieben App runter und rate mit wer sich unter den Masken verbirgt. In der App kannst du außerdem für deinen Favoriten voten!► https://www.prosieben.de/tv/the-masked-singer/app *************************************** Copyright Thumbnail: ProSieben/Willi Weber ***************************************Impressum:https://www.prosieben.de/service/impressum"
"-dkwY5MwQis","Teuerstes Bild aller Zeiten: Freudentränen nach Rekord-Expertise | Bares für Rares","2021-03-24T10:09:55Z","UC53bIpnef1pwAx69ERmmOLA","Bares für Rares","24","21.24.03","Gemälde Bares für Rares|Gemälde hochpreisig Bares für Rares|ZDF|2020|bfr|bares für rares|horst lichter|expertise|experten|händler|händlerraum|bietergefecht|teuerstes gemälde|teuerstes bild|teuerstes kunstwerk|teuerster verkauf bares für rares|teuerstes gemälde bares für rares|otto mueller lithografie|brückke maler|expressionist maler gemälde|höchste expertise|fabian kahl gemälde|kandidatin tränen|bricht in tränen aus|1920 gemälde|nackte frau|gemälde unikat","89711","2081","43","323","https://i.ytimg.com/vi/-dkwY5MwQis/default.jpg","False","False","Abonniere diesen tollen Kanal und besuche Bares für Rares in der ZDFmediathek: https://kurz.zdf.de/bfr/Die Expertise war unfassbar! Dieses Bild ist eine Lithografie des bekannten Brücke-Malers Otto Mueller aus der Zeit um 1920. Otto Mueller war nicht nur ein bedeutender Expressionist, sondern ist auch ein Künstler von dem extrem wenig Werke existieren und dieses Werk ist auch noch ein Unikat. Und das macht das Bild extrem teuer. Genau genommen ist es die höchste Expertise und der höchste Verkaufspreis die jemals in unserer Daily-Sendung für ein Bild erzielt wurde. Da stehen nicht nur der Verkäuferin die Tränen in den Augen.#BaresfürRares auf Facebook: http://facebook.com/baresfuerrares#baresfuerrares #antiquitäten #raritäten #kunst"
"ckq2PeQ6VJc","LOVEMOBIL: Dokumentarfilm über Prostitution gefälscht? | STRG_F","2021-03-23T16:00:09Z","UCfa7jJFYnn3P5LdJXsFkrjw","STRG_F","1","21.24.03","Dokus|Dokumentation|Reportage|Reporter|Dokumentarfilm|documentary|Journalist|Journalismus|funk|lovemobil|fake doku|LOVEMOBIL: Dokumentarfilm über Prostitution gefälscht?|doku gefälscht|mariam noori|lisa hagen|elke lehrenkrauss|elke margarete lehrenkraus|wohnwagen|wohnmobil|wohnwagen prostitution|ndr doku|strgf|strg f|strg_f","318763","13245","375","2177","https://i.ytimg.com/vi/ckq2PeQ6VJc/default.jpg","False","False","Diese Recherche begann mit einer Email im STRG_F-Postfach. Und auch wenn heute noch nicht alle Fragen geklärt sind – eines steht schon fest: Der preisgekrönte Kino-Dokumentarfilm Lovemobil ist in großen Teilen nicht echt. Im STRG_F-Interview hat die Regisseurin Elke Lehrenkrauss eingeräumt, dass sie Darsteller:innen als Protagonist:innen eingesetzt habe, darunter auch Bekannte. So sind zwei der im Film gezeigten Hauptfiguren in Wirklichkeit keine Prostituierten in Lovemobilen, sondern sie kamen nur für die Dreharbeiten nach Gifhorn. Die Regisseurin bestätigt die Inszenierungen und erklärt, sie habe es versäumt, den NDR darüber zu informieren. Sie sagte aber auch, dass der NDR nicht nachgefragt habe. Wie kam es zu dieser Täuschung?Der Film Lovemobil wurde vom NDR, zu dem auch STRG_F gehört, mitproduziert. Weitere Informationen und ein FAQ zum Thema findet ihr hier:https://www.ndr.de/der_ndr/unternehmen/NDR-distanziert-sich-vom-Dokumentarfilm-Lovemobil,ineigenersache106.htmlEin Film von:Mariam Noori, Lisa Maria Hagen, Nino Seidel, Jonas Schreijäg,Kamera:Lisa Maria Hagen, Jonas Schreijäg, Nino SeidelSchnitt:Sarah Steffens, Gunnar Krupp, Kay Ehrich, Jan LittelmannRedaktionLutz Ackermann, Jasmin Klofta, Anna Orth, Dietmar Schiffermüller, Salome Zadegan#lovemobil #doku #funk-------------------------------------Jeden Dienstag!Ihr habt Themenvorschläge? Schreibt uns an: strg_f@ndr.de Ihr wollt nichts verpassen? Abo: https://tinyurl.com/strg-f​​​​ Twitter: https://twitter.com/STRG_F​​​​ Instagram: https://www.instagram.com/strg_f/​​​​ Facebook: https://www.facebook.com/strgfofficia...​ Wir sind Teil von funk! Mehr Infos gibt's unter: YouTube: https://youtube.com/funkofficial​​​​ Web-App: https://go.funk.net​​​​ Facebook: https://facebook.com/funk​​​​ Impressum: https://go.funk.net/impressum"
"E4WyuhWyh8M","FAMILYWEEKEND ❤️ TEAM HARRISON","2021-03-23T15:00:05Z","UCvX4QLz-gxgWpQXTutSan_w","Team Harrison","22","21.24.03","Team Harrison|vlog|pregnant|schwanger|familie|family|schwangerschaft|Dubai|auszug|auswandern|aswanderung|goodbye deutschland|einzug|umzug|neuanfang|ABU DHABI|weekend|formel 1|warner bros|wasserpark|spaß|hotel|crazy|formel 1 world|Yas Island|yas world|aktion|achterbahn|schnellste Achterbahn der welt","317390","15915","1957","0","https://i.ytimg.com/vi/E4WyuhWyh8M/default.jpg","True","False","Wenn Ihr in einem Video von uns gegrüßt werden möchtet► Abonniert unseren Channel https://tinyurl.com/y7jonjup► Like das Video Viel Spaß beim anschauen Ganz liebe Grüße FAMILIE HARRISONUNSERE SOCIAL MEDIA ACCOUNTS - FOLLOW US ♡Youtube ► https://tinyurl.com/y7jonjupSarah Instagram ► https://www.instagram.com/sarah.harrison.official/TikTok ► https://vm.tiktok.com/w8vQQa/Dominic Instagram ► https://www.instagram.com/dominic.harrison.official/HIER FINDET IHR MEHR VIDEOS VON UNS:Schwangerschaft Playlist ► https://tinyurl.com/yc96w99jLos Angeles Playlist ► https://tinyurl.com/ybszppv9TeamHarrisons Vlogs ► https://tinyurl.com/ydaxmatvHochzeit Playlist ► https://tinyurl.com/y83syzts"
"zs66KYJyCCg","WIR BEKOMMEN BESUCH","2021-03-23T19:00:22Z","UCmxc6kXbU1J-0pR2F3wIx9A","laserluca","24","21.24.03","[none]","356511","49812","349","9355","https://i.ytimg.com/vi/zs66KYJyCCg/default.jpg","False","False","In der 16. Folge von Minecraft mit Luca reisen wir mit einem Dorfbewohner rum, entdecken Unterwasser-Ruinen und vermehren die Schildkröten... viel Spaß!👕 SHOP↪︎ http://luca-shop.de🎥 ZWEITKANAL↪︎ http://youtube.com/lucrew🎨 INSTAGRAM↪︎ http://instagram.com/laserluca🎙️ PODCAST↪︎ http://spotify.com/dickunddoof"
"R1lCXaABM_g","ELoTRiX wirft BOOSTER um!😂 UNCUT Version | MontanaBlack Clips","2021-03-23T18:33:40Z","UCEiQqWN-wRFnSFps6P_yspw","diecrewplayz","24","21.24.03","diecrewplayz|Die Crew|MontanaBlack|SpontanaBlack|Instagram|Die Crew Instagram|Monte Clips|MontanaBlack Clips|Clips|Twitch Clips|MontanaBlack Twitch Clips","182754","18284","134","333","https://i.ytimg.com/vi/R1lCXaABM_g/default.jpg","False","False","ELoTRiX wirft BOOSTER um!😂 UNCUT Version | MontanaBlack Clips ELoTRiX: https://www.youtube.com/user/ELoTRiXHDx🎥MontanaBlack:https://www.twitch.tv/montanablack88https://www.youtube.com/SpontanaBlackhttps://www.youtube.com/MontanaBlack88👕 Merchandise & Exklusiver Content:↳ https://montanablack.de/🔥 Instagram: @diecrewplayz"
"SRz-ePm4te8","5 minutes from death : Dancing with the Devil","2021-03-23T19:41:50Z","UCZkURf9tDolFOeuw_4RD7XQ","Demi Lovato","24","21.24.03","[none]","2083268","109321","1105","4566","https://i.ytimg.com/vi/SRz-ePm4te8/default.jpg","False","False","“I knew that what I’d been looking for, I hadn’t found yet. But what I had been looking for was not in the form of a drug.”Demi and her closest confidants give a firsthand account of the aftermath of the overdose as she wakes up in the hospital after being minutes away from death.Episode 3 available March 30 @ 12p PTResources: SAMHSA Hotline for individuals and family members facing mental health and/or substance use disorders1-800-662-HELP (4357) TTY: 1-800-487-4889  National Sexual Assault Hotlinewww.rainn.org1-800-656-HOPE (4673) Or if you need immediate support, please reach out to your local crisis text line:USA: Text HOME to 741741UK: Text SHOUT to 85258Canada: Text CONNECT to 686868 or 741741 Learn how to save lives at endoverdose.net.Pre-order Demi Lovato’s new album ‘Dancing With The Devil… The Art Of Starting Over’ https://DemiLovato.lnk.to/DWTDTAOSOID"
"mdjWkt5lO4M","Shutdown über Ostern - Die Corona-Beschlüsse im Überblick","2021-03-23T07:47:51Z","UCeqKIgPQfNInOswGRWt48kQ","ZDFheute Nachrichten","25","21.24.03","Moma|Corona|Ostern|Merkel|MPK|Beschlüsse|Maßnahmen|Corona Maßnahmen|Merkel aktuell|Merkel PK|Merkel breaking|breaking news|news alert|Merkel Coronabeschlüsse|ZDF|ZDFheute|Nachrichten|news","462416","2061","9627","5342","https://i.ytimg.com/vi/mdjWkt5lO4M/default.jpg","False","False","Nach Beratungen bis in die Nacht hinein pochen Bund und Länder auf die Notbremse und beschließen eine deutliche Verschärfung über Ostern. Die Corona-Beschlüsse im Überblick.Bund und Länder haben sich nach stundenlangen Beratungen bis in die Nacht hinein auf eine Verlängerung des Corona-Shutdowns bis zum 18. April geeinigt. Zudem wurde über die Oster-Tage vom 1. April (Gründonnerstag) bis 5. April (Ostermontag) ein als erweiterte Ruhezeit zu Ostern bezeichneter harter Shutdown beschlossen, bei dem selbst die zwei regulären Werktage Gründonnerstag und Ostersamstag als Ruhetage definiert werden, an denen folgendes gilt:AnsammlungsverbotSupermärkte dürfen nur an Karsamstag teilweise öffenBereits geöffnete Außengastronomie muss schließenPrivate Zusammenkünfte sind nur mit zwei Hausständen und maximal fünf Personen erlaubt (ausgenommen sind Kinder unter 14 Jahren, Paare zählen als Hausstand)Angesichts der ernsten Infektionsdynamik wollen Bund und Länder die Ostertage nutzen, um durch eine mehrtägige, sehr weitgehende Reduzierung aller Kontakte das exponentielle Wachstum der 3. Welle zu durchbrechen, heißt es im Beschluss.Religionsgemeinschaften werden gebeten, Ostermessen nur virtuell stattfinden zu lassen. In ersten Entwürfen war noch von Lockerungen der Kontaktbeschränkungen über Ostern die Rede.----Hier auf ZDFheute Nachrichten erfahrt ihr, was auf der Welt passiert und was uns alle etwas angeht: Wir sorgen für Durchblick in der Nachrichtenwelt, erklären die Hintergründe und gehen auf gesellschaftliche Debatten ein. Diskutiert in Livestreams mit uns und bildet euch eure eigene Meinung mit den Fakten, die wir euch präsentieren.Abonniert unseren Kanal, um nichts mehr zu verpassen.Immer auf dem aktuellen Stand seid ihr auf http://www.ZDFheute.de/​​.#Corona #Merkel #Ostern"
"uZmXF50Yx7I","losing control : Dancing with the Devil","2021-03-23T19:17:17Z","UCZkURf9tDolFOeuw_4RD7XQ","Demi Lovato","24","21.24.03","[none]","3160772","164597","2606","7390","https://i.ytimg.com/vi/uZmXF50Yx7I/default.jpg","False","False","“I crossed a line I’d never crossed in addiction.” In part I of this fearless documentary series, Demi Lovato and her family and friends candidly open up for the first time about what led to her near-fatal overdose.Resources: The National Eating Disorders Association (NEDA) helpline1-800-931-2237 (they also offer click-to-chat messaging) www.nationaleatingdisorders.org SAMHSA Hotline for individuals and family members facing mental health and/or substance use disorders1-800-662-HELP (4357) TTY: 1-800-487-4889  If you need immediate support, please reach out to your local crisis text line:USA: Text HOME to 741741UK: Text SHOUT to 85258Canada: Text CONNECT to 686868 or 741741Pre-order Demi Lovato’s new album ‘Dancing With The Devil… The Art Of Starting Over’ https://DemiLovato.lnk.to/DWTDTAOSOID"
