SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2000 Linwood Ave Unit 16R,Fort Lee,NJ,07024,378000,2,2.0,Fort Lee,,,,50,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2000-Linwood-Ave-07024/unit-16R/home/144018332,NJMLS,20027785,N,Y,40.8539851,-73.9739119
MLS Listing,,Condo/Co-op,2185 Lemoine Ave Unit 7P,Fort Lee,NJ,07024,125000,1,1.0,Fort Lee,1135,,,1,110,,Active,,,http://www.redfin.com/NJ/Fort-Lee/2185-Lemoine-Ave-07024/unit-7P/home/59914879,NJMLS,20036801,N,Y,40.8574358,-73.966749
MLS Listing,,Condo/Co-op,1600 Center Ave Unit PHE,Fort Lee,NJ,07024,659000,3,2.5,Fort Lee,2042,,,1,323,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1600-Center-Ave-07024/unit-PHE/home/35662304,NJMLS,20036800,N,Y,40.8502363,-73.9738535
MLS Listing,,Condo/Co-op,100 Old Palisade Rd #1811,Fort Lee,NJ,07024,364900,2,2.0,Fort Lee,1326,,,1,275,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-1811/home/35667777,NJMLS,20036761,N,Y,40.8480006,-73.9656335
MLS Listing,,Single Family Residential,1628 William St,Fort Lee,NJ,07024,1119000,5,3.5,Fort Lee,,5000,,1,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/1628-William-St-07024/home/35737162,NJMLS,20036735,N,Y,40.8535314,-73.9762765
MLS Listing,,Townhouse,17 Victoria Pl #17,Fort Lee,NJ,07024,2100000,4,3.5,Fort Lee,,,,1,,,Active,,,http://www.redfin.com/NJ/Fort-Lee/17-Victoria-Pl-E-07024/unit-17/home/173048791,NJMLS,20036607,N,Y,40.8287158,-73.9767562
MLS Listing,,Condo/Co-op,900 Palisade Ave Ph 2401,Fort Lee,NJ,07024,1125000,2,2.5,Fort Lee,2400,,,1,469,,Active,,,http://www.redfin.com/NJ/Fort-Lee/900-Palisade-Ave-07024/unit-2401/home/35734302,NJMLS,20036588,N,Y,40.8301762,-73.9788374
MLS Listing,,Townhouse,2046 Hoefleys Ln Unit C,Fort Lee,NJ,07024,839000,3,3.0,Fort Lee,,,,1,,,Active,September-5-2020 09:30 AM,September-5-2020 11:00 AM,http://www.redfin.com/NJ/Fort-Lee/2046-Hoefleys-LN-07024/unit-C/home/171794184,NJMLS,20036575,N,Y,40.8562383,-73.9653715
MLS Listing,,Condo/Co-op,100 Old Palisade Rd Ph 5,Fort Lee,NJ,07024,699900,2,2.5,Fort Lee,1824,,,2,384,,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-5/home/164395538,NJMLS,20036508,N,Y,40.8476488,-73.966198
MLS Listing,,Condo/Co-op,100 OLD PALISADE RD 4105,Fort Lee Boro,NJ,07024-7001,699900,2,2.5,Fort Lee Boro,18,,2000,2,38883,1410,Active,,,http://www.redfin.com/NJ/Fort-Lee/100-Old-Palisade-Rd-07024/unit-4105/home/35667751,GSMLS,3661127,N,Y,40.8481088,-73.9656707
